region,subregion,key,value
Oceania,Australia and New Zealand,Australia,27.6
Europe,Western Europe,Austria,21
Europe,Western Europe,Belgium,20
Americas,Northern America,Canada,10
Europe,Eastern Europe,Czech Republic,11.8
Europe,Western Europe,France,19.9
Europe,Southern Europe,Italy,22.8
Asia,Eastern Asia,Japan,17.3
Asia,Eastern Asia,Korea,17.3
Americas,Central America,Mexico,36.8
Oceania,Australia and New Zealand,New Zealand,27.6
Europe,Southern Europe,Spain,18.7
Europe,Northern Europe,Sweden,30
Europe,Northern Europe,United Kingdom,19.2
Americas,Northern America,United States,23.5
